# Device: RND 320-KA3005P V2.0
# Vmax: 18.00
# Imax: 5.000
# Timestamp[s] Voltage[V] Current[A]
1774273111.644 18.00 0.053
1774273111.737 18.00 0.053
1774273111.818 18.00 0.053
1774273111.899 18.00 0.055
1774273111.980 18.00 0.055
1774273112.061 18.00 0.055
1774273112.142 18.00 0.055
1774273112.223 18.00 0.055
1774273112.305 18.00 0.055
1774273112.386 18.00 0.055
1774273112.467 18.00 0.055
1774273112.548 18.00 0.055
1774273112.630 18.00 0.055
1774273112.711 18.00 0.056
1774273112.792 18.00 0.056
1774273112.873 18.00 0.056
1774273112.954 18.00 0.055
1774273113.035 18.00 0.055
1774273113.116 18.00 0.055
1774273113.197 18.00 0.055
1774273113.278 18.00 0.055
1774273113.360 18.00 0.055
1774273113.441 18.00 0.055
1774273113.522 18.00 0.055
1774273113.606 18.00 0.055
1774273113.693 18.00 0.055
1774273113.775 18.00 0.055
1774273113.856 18.00 0.055
1774273113.937 18.00 0.055
1774273114.018 18.00 0.055
1774273114.100 18.00 0.055
1774273114.181 18.00 0.055
1774273114.262 18.00 0.055
1774273114.343 18.00 0.055
1774273114.424 18.00 0.055
1774273114.505 18.00 0.055
1774273114.586 18.00 0.055
1774273114.668 18.00 0.055
1774273114.749 18.00 0.055
1774273114.830 18.00 0.055
1774273114.911 18.00 0.055
1774273114.992 18.00 0.055
1774273115.073 18.00 0.055
1774273115.155 18.00 0.055
1774273115.236 18.00 0.096
1774273115.317 18.00 0.096
1774273115.398 18.00 0.096
1774273115.479 18.00 0.096
1774273115.560 18.00 0.117
1774273115.641 18.00 0.117
1774273115.722 18.00 0.117
1774273115.803 18.00 0.055
1774273115.884 18.00 0.055
1774273115.965 18.00 0.055
1774273116.046 18.00 0.055
1774273116.127 18.00 0.158
1774273116.208 18.00 0.158
1774273116.290 18.00 0.158
1774273116.371 18.00 0.158
1774273116.452 18.00 0.122
1774273116.533 18.00 0.122
1774273116.614 18.00 0.122
1774273116.696 18.00 0.122
1774273116.777 18.00 0.114
1774273116.858 18.00 0.114
1774273116.939 18.00 0.114
1774273117.020 18.00 0.114
1774273117.101 18.00 0.264
1774273117.182 18.00 0.264
1774273117.264 18.00 0.264
1774273117.345 18.00 0.633
1774273117.426 18.00 0.633
1774273117.507 18.00 0.633
1774273117.588 18.00 0.633
1774273117.669 18.00 0.823
1774273117.771 18.00 0.823
1774273117.852 18.00 0.823
1774273117.933 18.00 0.823
1774273118.014 18.00 1.116
1774273118.095 18.00 1.116
1774273118.176 18.00 1.116
1774273118.257 18.00 1.116
1774273118.338 18.00 1.305
1774273118.420 18.00 1.305
1774273118.521 18.00 1.305
1774273118.602 18.00 1.305
1774273118.683 18.00 0.951
1774273118.805 18.00 0.951
1774273118.886 18.00 0.951
1774273118.967 18.00 0.951
1774273119.048 18.00 0.735
1774273119.130 18.00 0.735
1774273119.211 18.00 0.735
1774273119.292 18.00 0.735
1774273119.373 18.00 0.546
1774273119.474 18.00 0.546
1774273119.556 18.00 0.546
1774273119.637 18.00 0.498
1774273119.718 18.00 0.498
1774273119.799 18.00 0.498
1774273119.881 18.00 0.498
1774273119.962 18.00 0.498
1774273120.043 18.00 0.200
1774273120.124 18.00 0.200
1774273120.206 18.00 0.200
1774273120.287 18.00 0.200
1774273120.368 18.00 0.318
1774273120.469 18.00 0.318
1774273120.551 18.00 0.318
1774273120.632 18.00 0.318
1774273120.713 18.00 0.785
1774273120.814 18.00 0.785
1774273120.895 18.00 0.785
1774273120.977 18.00 0.785
1774273121.058 18.00 0.821
1774273121.159 18.00 0.821
1774273121.260 18.00 0.821
1774273121.342 18.00 0.821
1774273121.423 18.00 1.239
1774273121.504 18.00 1.239
1774273121.585 18.00 1.239
1774273121.666 18.00 1.239
1774273121.747 18.00 0.374
1774273121.829 18.00 0.374
1774273121.910 18.00 0.374
1774273122.011 18.00 0.374
1774273122.113 18.00 0.445
1774273122.194 18.00 0.445
1774273122.295 18.00 0.445
1774273122.396 18.00 0.445
1774273122.478 18.00 0.448
1774273122.579 18.00 0.448
1774273122.681 18.00 0.448
1774273122.762 18.00 0.448
1774273122.864 18.00 0.300
1774273122.965 18.00 0.300
1774273123.046 18.00 0.300
1774273123.127 18.00 0.300
1774273123.229 18.00 0.308
1774273123.330 18.00 0.308
1774273123.411 18.00 0.308
1774273123.513 18.00 0.036
1774273123.614 18.00 0.036
1774273123.695 18.00 0.036
1774273123.776 18.00 0.036
1774273123.878 18.00 0.216
1774273123.979 18.00 0.216
1774273124.060 18.00 0.216
1774273124.161 18.00 0.216
1774273124.243 18.00 0.051
1774273124.344 18.00 0.051
1774273124.446 18.00 0.051
1774273124.527 18.00 0.051
1774273124.628 18.00 0.190
1774273124.710 18.00 0.190
1774273124.811 18.00 0.190
1774273124.912 18.00 0.190
1774273124.993 18.00 0.272
1774273125.094 18.00 0.272
1774273125.176 18.00 0.272
1774273125.277 18.00 0.272
1774273125.358 18.00 0.776
1774273125.459 18.00 0.776
1774273125.560 18.00 0.776
1774273125.642 18.00 0.776
1774273125.723 18.00 0.839
1774273125.824 18.00 0.839
1774273125.926 18.00 0.839
1774273126.007 18.00 0.839
1774273126.108 18.00 1.085
1774273126.210 18.00 1.085
1774273126.291 18.00 1.085
1774273126.372 18.00 1.085
1774273126.473 18.00 1.617
1774273126.574 18.00 1.617
1774273126.656 18.00 1.617
1774273126.757 18.00 1.437
1774273126.858 18.00 1.437
1774273126.939 18.00 1.437
1774273127.041 18.00 1.437
1774273127.122 18.00 1.276
1774273127.223 18.00 1.276
1774273127.305 18.00 1.276
1774273127.406 18.00 1.276
1774273127.507 18.00 1.132
1774273127.588 18.00 1.132
1774273127.690 18.00 1.132
1774273127.771 18.00 1.132
1774273127.872 18.00 0.626
1774273127.953 18.00 0.626
1774273128.054 18.00 0.626
1774273128.156 18.00 0.626
1774273128.237 18.00 0.330
1774273128.338 18.00 0.330
1774273128.419 18.00 0.330
1774273128.520 18.00 0.330
1774273128.602 18.00 0.603
1774273128.703 18.00 0.603
1774273128.804 18.00 0.603
1774273128.886 18.00 0.603
1774273128.967 18.00 0.206
1774273129.068 18.00 0.206
1774273129.149 18.00 0.206
1774273129.231 18.00 0.206
1774273129.312 18.00 0.223
1774273129.393 18.00 0.223
1774273129.499 18.00 0.223
1774273129.601 18.00 0.223
1774273129.682 18.00 0.076
1774273129.783 18.00 0.076
1774273129.885 18.00 0.076
1774273129.966 18.00 0.076
1774273130.047 18.00 0.055
1774273130.148 18.00 0.055
1774273130.250 18.00 0.055
1774273130.331 18.00 0.055
1774273130.432 18.00 0.055
1774273130.534 18.00 0.055
1774273130.615 18.00 0.055
1774273130.691 18.00 0.055
1774273130.792 18.00 0.053
1774273130.873 18.00 0.053
1774273130.954 18.00 0.053
1774273131.036 18.00 0.053
1774273131.117 18.00 0.055
1774273131.198 18.00 0.055
1774273131.304 18.00 0.055
1774273131.393 18.00 0.055
1774273131.474 18.00 0.055
1774273131.555 18.00 0.055
1774273131.636 18.00 0.055
1774273131.738 18.00 0.055
1774273131.839 18.00 0.055
1774273131.920 18.00 0.055
1774273132.022 18.00 0.055
1774273132.103 18.00 0.055
