t,U,I,throttle0,throttle1,throttle2,throttle3
1774273213.097,18.00,0.055,1,0,0,0
1774273213.171,18.00,0.055,1,0,0,0
1774273213.256,18.00,0.055,1,0,0,0
1774273213.337,18.00,0.055,1,0,0,0
1774273213.418,18.00,0.055,1,0,0,0
1774273213.500,18.00,0.055,1,0,0,0
1774273213.581,18.00,0.055,1,0,0,0
1774273213.662,18.00,0.053,1,0,0,0
1774273213.743,18.00,0.053,1,0,0,0
1774273213.824,18.00,0.053,1,0,0,0
1774273213.905,18.00,0.055,1,0,0,0
1774273213.987,18.00,0.055,1,0,0,0
1774273214.068,18.00,0.055,1,0,0,0
1774273214.149,18.00,0.055,1,0,0,0
1774273214.230,18.00,0.055,1,0,0,0
1774273214.311,18.00,0.055,1,0,0,0
1774273214.393,18.00,0.055,1,0,0,0
1774273214.474,18.00,0.055,1,0,0,0
1774273214.555,18.00,0.055,1,0,0,0
1774273214.636,18.00,0.055,1,0,0,0
1774273214.717,18.00,0.055,1,0,0,0
1774273214.799,18.00,0.055,1,0,0,0
1774273214.881,18.00,0.053,1,0,0,0
1774273214.962,18.00,0.053,1,0,0,0
1774273215.043,18.00,0.053,1,0,0,0
1774273215.124,18.00,0.055,1,0,0,0
1774273215.205,18.00,0.055,1,0,0,0
1774273215.286,18.00,0.055,1,0,0,0
1774273215.367,18.00,0.055,1,0,0,0
1774273215.448,18.00,0.055,1,0,0,0
1774273215.529,18.00,0.055,1,0,0,0
1774273215.611,18.00,0.055,1,0,0,0
1774273215.692,18.00,0.055,1,0,0,0
1774273215.773,18.00,0.053,1,0,0,0
1774273215.854,18.00,0.053,1,0,0,0
1774273215.935,18.00,0.053,1,0,0,0
1774273216.016,18.00,0.053,1,0,0,0
1774273216.097,18.00,0.053,1,0,0,0
1774273216.178,18.00,0.055,1,0,0,0
1774273216.260,18.00,0.055,1,0,0,0
1774273216.341,18.00,0.055,1,0,0,0
1774273216.422,18.00,0.055,1,0,0,0
1774273216.503,18.00,0.055,96,0,0,0
1774273216.584,18.00,0.055,101,0,0,0
1774273216.665,18.00,0.056,0,0,0,0
1774273216.746,18.00,0.056,0,0,0,0
1774273216.827,18.00,0.056,0,0,0,0
1774273216.908,18.00,0.096,0,0,0,0
1774273216.989,18.00,0.096,0,0,0,0
1774273217.071,18.00,0.096,0,0,0,0
1774273217.152,18.00,0.125,0,0,0,0
1774273217.233,18.00,0.125,0,0,0,0
1774273217.314,18.00,0.125,0,0,0,0
1774273217.395,18.00,0.071,0,0,0,0
1774273217.476,18.00,0.071,0,0,0,0
1774273217.557,18.00,0.071,0,0,0,0
1774273217.638,18.00,0.066,0,0,0,0
1774273217.719,18.00,0.066,0,0,0,0
1774273217.801,18.00,0.066,0,0,0,0
1774273217.882,18.00,0.155,0,0,0,0
1774273217.963,18.00,0.155,0,0,0,0
1774273218.044,18.00,0.155,0,0,0,0
1774273218.125,18.00,0.142,0,0,0,0
1774273218.206,18.00,0.142,0,0,0,0
1774273218.287,18.00,0.142,0,0,0,0
1774273218.368,18.00,0.053,0,0,0,0
1774273218.449,18.00,0.053,0,0,0,0
1774273218.530,18.00,0.053,0,0,0,0
1774273218.612,18.00,0.055,0,0,0,0
1774273218.693,18.00,0.055,0,0,0,0
1774273218.774,18.00,0.055,0,0,0,0
1774273218.856,18.00,0.055,15,0,0,0
1774273218.937,18.00,0.053,29,0,0,0
1774273219.018,18.00,0.053,34,0,0,0
1774273219.099,18.00,0.053,34,0,0,0
1774273219.180,18.00,0.455,60,0,0,0
1774273219.261,18.00,0.455,70,0,0,0
1774273219.343,18.00,0.455,84,0,0,0
1774273219.424,18.00,0.621,98,0,0,0
1774273219.505,18.00,0.621,105,0,0,0
1774273219.586,18.00,0.621,108,0,0,0
1774273219.667,18.00,0.870,114,0,0,0
1774273219.749,18.00,0.870,114,0,0,0
1774273219.830,18.00,0.870,114,0,0,0
1774273219.911,18.00,0.870,114,0,0,0
1774273219.992,18.00,1.501,114,0,0,0
1774273220.074,18.00,1.501,114,0,0,0
1774273220.155,18.00,1.501,114,0,0,0
1774273220.236,18.00,1.258,114,0,0,0
1774273220.317,18.00,1.258,114,0,0,0
1774273220.398,18.00,1.258,114,0,0,0
1774273220.479,18.00,1.258,114,0,0,0
1774273220.560,18.00,1.243,114,0,0,0
1774273220.641,18.00,1.243,114,0,0,0
1774273220.723,18.00,1.243,114,0,0,0
1774273220.804,18.00,1.098,114,0,0,0
1774273220.885,18.00,1.098,124,0,0,0
1774273220.966,18.00,1.098,126,0,0,0
1774273221.047,18.00,1.098,128,0,0,0
1774273221.128,18.00,1.244,128,0,0,0
